,eq,support,num_points,ops
0,exp(-x_1**2/2)/sqrt(2*pi),"{'x_1': {'max': 3.0, 'min': 1.0}}",500,"mul,div,pow,exp"
1,exp(-(x_2/x_1)**2/2)/(sqrt(2*pi)*x_1),"{'x_1': {'max': 3.0, 'min': 1.0}, 'x_2': {'max': 3.0, 'min': 1.0}}",500,"mul,div,pow,exp"
2,exp(-((x_2-x_2)/x_1)**2/2)/(sqrt(2*pi)*x_1),"{'x_1': {'max': 3.0, 'min': 1.0}, 'x_2': {'max': 3.0, 'min': 1.0}, 'x_3': {'max': 3.0, 'min': 1.0}}",500,"mul,div,pow"
3,x_1/sqrt(1-x_2**2/x_3**2),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 2.0, 'min': 1.0}, 'x_3': {'max': 10.0, 'min': 3.0}}",500,"sub,div,pow"
4,x_1*x_2,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}}",500,mul
5,x_1*x_3/(4*pi*x_2*x_3**3),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500,"mul,div,pow"
6,x_1*x_2,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}}",500,mul
7,x_1*x_2*x_3,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500,mul
8,1/2*x_2*x_2**2,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}}",500,"div,pow"
9,x_1*x_2/sqrt(1-x_2**2/x_3**2),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 2.0, 'min': 1.0}, 'x_3': {'max': 10.0, 'min': 3.0}}",500,"sub,mul,div,pow"
10,(x_3+x_2)/(1+x_3*x_2/x_1**2),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500,"mul,add,pow,div"
11,x_1*x_2*sin(x_3),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 0.0}}",500,"mul,sin"
12,x_1/x_2,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}}",500,div
13,arcsin(x_1*sin(x_2)),"{'x_1': {'max': 1.0, 'min': 0.0}, 'x_2': {'max': 5.0, 'min': 1.0}}",500,"mul,arcsin,sin"
14,1/(1/x_1+x_3/x_2),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500,"add,div"
15,x_1/x_2,"{'x_1': {'max': 10.0, 'min': 1.0}, 'x_2': {'max': 10.0, 'min': 1.0}}",500,div
16,x_1*sin(x_3*x_2/2)**2/sin(x_2/2)**2,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500,"mul,div,pow,sin"
17,arcsin(x_1/(x_3*x_2)),"{'x_1': {'max': 2.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 2.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500,"arcsin,mul,div"
18,x_3/(1-x_2/x_1),"{'x_1': {'max': 10.0, 'min': 3.0}, 'x_2': {'max': 2.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500,"sub,div"
19,(1+x_2/x_1)/sqrt(1-x_2**2/x_1**2)*x_3,"{'x_1': {'max': 10.0, 'min': 3.0}, 'x_2': {'max': 2.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500,"mul,add,pow,div,sub"
20,(x_2/(2*pi))*x_1,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}}",500,"mul,div"
21,x_1+x_2+2*sqrt(x_1*x_2)*cos(x_3),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500,"add,div,pow,mul,cos"
22,3/2*x_1*x_2,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}}",500,"mul,div"
23,1/(x_1-1)*x_2*x_3,"{'x_1': {'max': 5.0, 'min': 2.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500,"sub,mul,div"
24,x_1*x_3*x_2,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500,mul
25,sqrt(x_1*x_2/x_3),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500,"mul,div,pow"
26,x_1*x_3**2/sqrt(1-x_2**2/x_3**2),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 2.0, 'min': 1.0}, 'x_3': {'max': 10.0, 'min': 3.0}}",500,"sub,mul,div,pow"
27,x_1/(4*pi*x_2**2),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}}",500,"mul,div,pow"
28,x_1/(4*pi*x_2*x_3),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500,"mul,div"
29,3/5*x_1**2/(4*pi*x_2*x_3),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500,"mul,div,pow"
30,x_1*x_2**2/2,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}}",500,"mul,div,pow"
31,x_1/x_2*1/(1+x_3),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500,"mul,add,div"
32,1+x_1*x_2/(1-(x_1*x_2/3)),"{'x_1': {'max': 1.0, 'min': 0.0}, 'x_2': {'max': 1.0, 'min': 0.0}}",500,"sub,mul,add,div"
33,x_1/sqrt(1-x_2**2/x_3**2),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 2.0, 'min': 1.0}, 'x_3': {'max': 10.0, 'min': 3.0}}",500,"sub,div,pow"
34,x_1*x_2/sqrt(1-x_2**2/x_3**2),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 2.0, 'min': 1.0}, 'x_3': {'max': 10.0, 'min': 3.0}}",500,"sub,mul,div,pow"
35,-x_1*x_2*cos(x_3),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500,"cos,mul,neg"
36,-x_1*x_2*cos(x_3),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500,"cos,mul,neg"
37,sqrt(x_1**2/x_2**2-pi**2/x_3**2),"{'x_1': {'max': 6.0, 'min': 4.0}, 'x_2': {'max': 2.0, 'min': 1.0}, 'x_3': {'max': 4.0, 'min': 2.0}}",500,"sub,div,pow"
38,x_1*x_2*x_3**2,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500,"mul,pow"
39,x_1*x_2**2,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}}",500,"mul,pow"
40,x_1*x_2/(2*pi*x_3),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500,"mul,div"
41,x_1*x_2*x_3/2,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500,"mul,div"
42,x_1*x_2/(4*pi*x_3),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500,"mul,div"
43,x_1*(1+x_3)*x_2,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500,"mul,add"
44,x_1/(2*(1+x_2)),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}}",500,"mul,add,div"
45,2*x_1*x_2/(x_3/(2*pi)),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500,"mul,div"
46,sin(x_1*x_2/(x_3/(2*pi)))**2,"{'x_1': {'max': 2.0, 'min': 1.0}, 'x_2': {'max': 2.0, 'min': 1.0}, 'x_3': {'max': 4.0, 'min': 1.0}}",500,"mul,div,pow,sin"
47,x_1*(x_2/(2*pi)),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}}",500,"mul,div"
48,2*x_1*(1-cos(x_2*x_3)),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500,"cos,sub,mul"
49,(x_1/(2*pi))**2/(2*x_2*x_3**2),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500,"mul,div,pow"
50,2*pi*x_1/(x_2*x_3),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500,"mul,div"
51,x_1*(1+x_2*cos(x_3)),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500,"cos,mul,add"
