,eq,support,num_points
0,exp(-x_1**2/2)/sqrt(2*pi),"{'x_1': {'max': 3.0, 'min': 1.0}}",500
1,exp(-(x_2/x_1)**2/2)/(sqrt(2*pi)*x_1),"{'x_1': {'max': 3.0, 'min': 1.0}, 'x_2': {'max': 3.0, 'min': 1.0}}",500
2,exp(-((x_2-x_2)/x_1)**2/2)/(sqrt(2*pi)*x_1),"{'x_1': {'max': 3.0, 'min': 1.0}, 'x_2': {'max': 3.0, 'min': 1.0}, 'x_3': {'max': 3.0, 'min': 1.0}}",500
3,sqrt((x_2-x_1)**2+(x_4-x_3)**2),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}, 'x_4': {'max': 5.0, 'min': 1.0}}",500
4,x_3*x_1*x_2/((x_5-x_4)**2+(x_7-x_6)**2+(x_9-x_8)**2),"{'x_1': {'max': 2.0, 'min': 1.0}, 'x_2': {'max': 2.0, 'min': 1.0}, 'x_3': {'max': 2.0, 'min': 1.0}, 'x_4': {'max': 4.0, 'min': 3.0}, 'x_5': {'max': 2.0, 'min': 1.0}, 'x_6': {'max': 4.0, 'min': 3.0}, 'x_7': {'max': 2.0, 'min': 1.0}, 'x_8': {'max': 4.0, 'min': 3.0}, 'x_9': {'max': 2.0, 'min': 1.0}}",500
5,x_1/sqrt(1-x_2**2/x_3**2),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 2.0, 'min': 1.0}, 'x_3': {'max': 10.0, 'min': 3.0}}",500
6,x_1*x_4+x_2*x_5+x_3*x_6,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}, 'x_4': {'max': 5.0, 'min': 1.0}, 'x_5': {'max': 5.0, 'min': 1.0}, 'x_6': {'max': 5.0, 'min': 1.0}}",500
7,x_1*x_2,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}}",500
8,x_1*x_2*x_4/(4*pi*x_3*x_4**3),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}, 'x_4': {'max': 5.0, 'min': 1.0}}",500
9,x_1*x_3/(4*pi*x_2*x_3**3),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
10,x_1*x_2,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}}",500
11,x_1*(x_2+x_3*x_4*sin(x_5)),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}, 'x_4': {'max': 5.0, 'min': 1.0}, 'x_5': {'max': 5.0, 'min': 1.0}}",500
12,1/2*x_1*(x_2**2+x_3**2+x_4**2),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}, 'x_4': {'max': 5.0, 'min': 1.0}}",500
13,x_5*x_1*x_2*(1/x_4-1/x_3),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}, 'x_4': {'max': 5.0, 'min': 1.0}, 'x_5': {'max': 5.0, 'min': 1.0}}",500
14,x_1*x_2*x_3,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
15,1/2*x_2_1*x_2**2,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}}",500
16,(x_1-x_2*x_4)/sqrx_4(1-x_2**2/x_3**2),"{'x_1': {'max': 10.0, 'min': 5.0}, 'x_2': {'max': 2.0, 'min': 1.0}, 'x_3': {'max': 20.0, 'min': 3.0}, 'x_4': {'max': 2.0, 'min': 1.0}}",500
17,(x_4-x_3*x_1/x_2**2)/sqrx_4(1-x_3**2/x_2**2),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 10.0, 'min': 3.0}, 'x_3': {'max': 2.0, 'min': 1.0}, 'x_4': {'max': 5.0, 'min': 1.0}}",500
18,x_1*x_2/sqrt(1-x_2**2/x_3**2),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 2.0, 'min': 1.0}, 'x_3': {'max': 10.0, 'min': 3.0}}",500
19,(x_3+x_2)/(1+x_3*x_2/x_1**2),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
20,(x_1*x_3+x_2*x_4)/(x_1+x_2),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}, 'x_4': {'max': 5.0, 'min': 1.0}}",500
21,x_1*x_2*sin(x_3),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 0.0}}",500
